observation_date,GDP,Trend,Cycle
1947-01-01,768.8309216692007,766.3166606813932,2.5142609878075746
1947-04-01,768.565345044952,767.3614775177987,1.2038675271533066
1947-07-01,768.3602556304456,768.4079489631264,-0.047693332680751155
1947-10-01,769.9141074564077,769.4585218789567,0.45558557745096095
1948-01-01,771.4089170485488,770.5156117403861,0.8933053081626667
1948-04-01,773.047791274611,771.5819338386268,1.4658574359841623
1948-07-01,773.6206654822961,772.6607913397937,0.9598741425023718
1948-10-01,773.7338878488664,773.7564520754861,-0.022564226619692818
1949-01-01,772.3477108174585,774.8738155604614,-2.526104743002861
1949-04-01,772.0074751956478,776.0177664601946,-4.010291264546822
1949-07-01,773.0361069635965,777.1915270369876,-4.155420073391156
1949-10-01,772.1947723895084,778.3956804223042,-6.200908032795724
1950-01-01,776.0511359006629,779.6280751090162,-3.5769392083533376
1950-04-01,779.0564508878417,780.8824788371201,-1.8260279492783411
1950-07-01,782.8486935337768,782.1503054002402,0.6983881335365822
1950-10-01,784.7455459079864,783.4217669020616,1.3237790059248482
1951-01-01,786.0943643130087,784.6875350482132,1.4068292647954195
1951-04-01,787.8116684752187,785.9391527094763,1.8725157657423779
1951-07-01,789.8507263456271,787.1690885762921,2.6816377693349978
1951-10-01,790.069441053258,788.3710436221902,1.6983974310677468
1952-01-01,791.1307156651096,789.5404835785362,1.590232086573451
1952-04-01,791.3447861718553,790.6739918743237,0.6707942975315291
1952-07-01,792.0634282643891,791.7691984536898,0.29422981069933485
1952-10-01,795.2946045278969,792.8241747034999,2.4704298243970015
1953-01-01,797.1365755737787,793.8371856401884,3.299389933590305
1953-04-01,797.9066940477759,794.8081220442804,3.0985720034955193
1953-07-01,797.3425899966074,795.7390459903904,1.603544006217021
1953-10-01,795.8172976092233,796.6340586910384,-0.8167610818151161
1954-01-01,795.3385831102279,797.4983166343234,-2.1597335240954862
1954-04-01,795.4479359494483,798.3364388063987,-2.888502856950481
1954-07-01,796.5712920237794,799.1516228953208,-2.5803308715413777
1954-10-01,798.5093538372913,799.945165695555,-1.435811858263719
1955-01-01,801.325909973208,800.7166659127431,0.6092440604649028
1955-04-01,802.9403524190609,801.4647773597248,1.4755750593360517
1955-07-01,804.2821315256971,802.1885547864996,2.0935767391974878
1955-10-01,804.8810008537826,802.8880240036174,1.992976850165178
1956-01-01,804.4922033268895,803.5645885826361,0.9276147442533329
1956-04-01,805.3153820568122,804.2209636523846,1.094418404427529
1956-07-01,805.2256384120855,804.8604747952759,0.365163616809582
1956-10-01,806.8581514056291,805.4871678190564,1.37098358657272
1957-01-01,807.4963782701657,806.1053288418384,1.3910494283272783
1957-04-01,807.2769975670944,806.720146211728,0.5568513553664616
1957-07-01,808.2521493032611,807.3377237119462,0.9144255913149664
1957-10-01,807.212222399553,807.9645315837818,-0.7523091842288068
1958-01-01,804.5820305165845,808.6076418424641,-4.025611325879595
1958-04-01,805.236781186374,809.2736314163994,-4.036850230025493
1958-07-01,807.5235453549046,809.9664280211841,-2.442882666279502
1958-10-01,809.834857554276,810.687302763399,-0.8524452091229477
1959-01-01,811.7350945348338,811.4359191140319,0.29917542080193016
1959-04-01,813.9635133808961,812.2113795587738,1.7521338221222322
1959-07-01,814.0332158097708,813.0129834675387,1.0202323422321342
1959-10-01,814.3177911965565,813.8411832712271,0.47660792532940377
1960-01-01,816.5415095465919,814.697102804999,1.844406741592934
1960-04-01,816.0016979006311,815.5821795547168,0.41951834591429815
1960-07-01,816.4904328829945,816.4990647910755,-0.008631908081042639
1960-10-01,815.1989985005622,817.4506858654156,-2.25168736485341
1961-01-01,815.8717484219004,818.43996444851,-2.568216026609548
1961-04-01,817.5553506501731,819.4683403991708,-1.9129897489976884
1961-07-01,819.4575101378886,820.5355634600398,-1.078053322151277
1961-10-01,821.4001869915677,821.640124455165,-0.23993746359735724
1962-01-01,823.1681295759735,822.7798047529517,0.38832482302177596
1962-04-01,824.0688155851897,823.9522278214636,0.11658776372610191
1962-07-01,825.2908844770193,825.1552726812793,0.1356117957400329
1962-10-01,825.6197450093626,826.3868950781675,-0.7671500688048809
1963-01-01,826.705915191659,827.6451400026058,-0.9392248109468255
1963-04-01,827.8220771956443,828.9275475916163,-1.10547039597202
1963-07-01,829.9970825234178,830.2310398881734,-0.2339573647556108
1963-10-01,830.6508455738186,831.5518114367189,-0.900965862900307
1964-01-01,832.7376334912492,832.8859028167943,-0.1482693255451295
1964-04-01,833.8208142284932,834.2287616917077,-0.4079474632145548
1964-07-01,835.3713329782793,835.5757381502717,-0.20440517199244823
1964-10-01,835.6800470522318,836.9219138153305,-1.2418667630987557
1965-01-01,838.0711393480444,838.2622357928183,-0.1910964447738479
1965-04-01,839.3266949850884,839.5908339291102,-0.2641389440218518
1965-07-01,841.5255035022691,840.9017123120054,0.6237911902636597
1965-10-01,843.8032661176405,842.1887012022207,1.6145649154198054
1966-01-01,846.2079556179118,843.4460413709469,2.7619142469649205
1966-04-01,846.5488443972434,844.6690361176985,1.8798082795449318
1966-07-01,847.3921114560691,845.8548063289388,1.537305127130253
1966-10-01,848.2091678695876,847.0017099733457,1.2074578962419764
1967-01-01,849.0910610495862,848.1091167040611,0.9819443455251076
1967-04-01,849.1523937066523,849.1771907896698,-0.024797083017460864
1967-07-01,850.0940224614286,850.2067427060858,-0.11272024465722552
1967-10-01,850.8450485090956,851.1985666105218,-0.35351810142617524
1968-01-01,852.8638048472903,852.1533824801743,0.7104223671160526
1968-04-01,854.5203805541531,853.0716776456665,1.4487029084866663
1968-07-01,855.2919151180274,853.9544069591682,1.3375081588592366
1968-10-01,855.6839198734517,854.8034786491183,0.8804412243333672
1969-01-01,857.2362394754862,855.6216811441193,1.6145583313668794
1969-04-01,857.5391342319999,856.4123822819572,1.126751950042717
1969-07-01,858.1969184355149,857.1800124244104,1.0169060111045383
1969-10-01,857.7075137517322,857.9297434369587,-0.22222968522646624
1970-01-01,857.5585110841937,858.6674164003184,-1.1089053161247193
1970-04-01,857.7001291734412,859.3987261481685,-1.6985969747273657
1970-07-01,858.6173769494293,860.1286377551708,-1.5112608057414718
1970-10-01,857.5400210832694,860.8609984670413,-3.3209773837719467
1971-01-01,860.2199376017347,861.5986609845286,-1.3787233827938508
1971-04-01,860.7592971279491,862.3422925078157,-1.5829953798665883
1971-07-01,861.5783802897976,863.0916529136136,-1.5132726238160785
1971-10-01,861.812969555017,863.8454603258914,-2.0324907708743467
1972-01-01,863.6335125573908,864.6014369996943,-0.9679244423035698
1972-04-01,865.8774347583287,865.3559676290988,0.5214671292299045
1972-07-01,866.8170957156914,866.1047999272057,0.712295788485676
1972-10-01,868.4776674384927,866.8440247791924,1.6336426593003353
1973-01-01,870.9224786168932,867.5702018246625,3.3522767922306684
1973-04-01,872.005337909907,868.2809657864085,3.7243721234984832
1973-07-01,871.4781121855528,868.9761574856026,2.501954699950261
1973-10-01,872.4228661386712,869.6580687138512,2.764797424820017
1974-01-01,871.5594440905585,870.3306377730432,1.2288063175152502
1974-04-01,871.7968590487683,870.9996224494055,0.7972365993628046
1974-07-01,870.8470855614044,871.6715891937812,-0.8245036323768318
1974-10-01,870.4579235351222,872.3536291101011,-1.8957055749789333
1975-01-01,869.2328153052084,873.052290705059,-3.819475399850603
1975-04-01,869.9449746097602,873.7728749412897,-3.8279003315295768
1975-07-01,871.6425288956067,874.5181692245201,-2.8756403289133914
1975-10-01,872.9806291640068,875.2884418592093,-2.3078126952025286
1976-01-01,875.2051693942724,876.0820687209211,-0.8768993266487541
1976-04-01,875.9358673205289,876.8959069377645,-0.9600396172355659
1976-07-01,876.4817820753838,877.7262365595516,-1.244454484167818
1976-10-01,877.201787376241,878.5687058440394,-1.3669184677984276
1977-01-01,878.3810399285425,879.4181440864743,-1.0371041579318216
1977-04-01,880.3043487189042,880.2684810273213,0.03586769158289371
1977-07-01,882.0914494934435,881.1129638996211,0.97848559382237
1977-10-01,882.0934422532306,881.9448635405685,0.14857871266212896
1978-01-01,882.4127739858717,882.7580947185176,-0.3453207326458596
1978-04-01,886.2047344281245,883.5466699799231,2.6580644482014577
1978-07-01,887.2054591878655,884.3043746192693,2.9010845685961613
1978-10-01,888.5406313821512,885.0267431755196,3.5138882066315773
1979-01-01,888.7200641190797,885.711219361122,3.0088447579577178
1979-04-01,888.8267524750337,886.3575593416899,2.469193133343765
1979-07-01,889.5668119546325,886.9674993721773,2.5993125824552408
1979-10-01,889.816545031333,887.5444006577761,2.2721443735568982
1980-01-01,890.1306224453763,888.0933349841677,2.0372874612086207
1980-04-01,888.0486644622188,888.6208694115383,-0.5722049493194845
1980-07-01,887.9297390241564,889.1349117176956,-1.2051726935391116
1980-10-01,889.7774858727486,889.6429931183413,0.1344927544072334
1981-01-01,891.7179585407846,890.1518517176025,1.5661068231820536
1981-04-01,890.9741232257501,890.6683141278847,0.3058090978653354
1981-07-01,892.1645119764422,891.2002376001537,0.964274376288472
1981-10-01,891.068935664419,891.7556806351524,-0.6867449707334572
1982-01-01,889.5030954817281,892.3433363125297,-2.8402408308015765
1982-04-01,889.9582352758662,892.9714457722348,-3.013210496368629
1982-07-01,889.5752359330606,893.6463810213618,-4.071145088301137
1982-10-01,889.6152367196416,894.3725311046171,-4.7572943849754665
1983-01-01,890.9244198071408,895.1516058886027,-4.227186081461923
1983-04-01,893.1744362616321,895.9821845141246,-2.8077482524925017
1983-07-01,895.153674092315,896.8600642549345,-1.7063901626195275
1983-10-01,897.2183939197154,897.7791946349554,-0.5608007152400205
1984-01-01,899.1543236297723,898.7324022205484,0.4219214092239554
1984-04-01,900.8673291398319,899.7121445209752,1.1551846188566515
1984-07-01,901.8267222579306,900.7111567075749,1.1155655503556545
1984-10-01,902.6441451798448,901.7229341666311,0.9212110132136786
1985-01-01,903.6084599114595,902.7417064264769,0.8667534849826097
1985-04-01,904.4850799189456,903.7623092548012,0.7227706641444911
1985-07-01,906.0008059563283,904.7801488207181,1.2206571356102813
1985-10-01,906.7415051391976,905.7911069411745,0.9503981980230947
1986-01-01,907.6709202945589,906.7918687348421,0.8790515597167996
1986-04-01,908.1202058490665,907.7797447675304,0.3404610815360911
1986-07-01,909.0723267944167,908.7526240997082,0.3197026947084396
1986-10-01,909.6072862111283,909.70861984573,-0.1013336346017013
1987-01-01,910.3463930104825,910.6460555129586,-0.2996625024760533
1987-04-01,911.4187997625571,911.5631879221489,-0.14438815959181284
1987-07-01,912.2822393958646,912.4580766892901,-0.17583729342550214
1987-10-01,913.9846231291203,913.3286864100301,0.6559367190902776
1988-01-01,914.5001744171957,914.1728659633288,0.3273084538668627
1988-04-01,915.8056481847482,914.9888958932581,0.8167522914900474
1988-07-01,916.3899077052257,915.7752721421684,0.6146355630572771
1988-10-01,917.7135646426292,916.531028148572,1.1825364940572172
1989-01-01,918.7248290352503,917.2556018362322,1.4692271990180643
1989-04-01,919.4850318152851,917.9492093438416,1.5358224714434527
1989-07-01,920.223037466994,918.6130336931828,1.6100037738111723
1989-10-01,920.41982476909,919.2492686147818,1.1705561543082013
1990-01-01,921.5067780152992,919.8611673658497,1.6456106494495089
1990-04-01,921.8690908989831,920.4527535343896,1.4163373645935735
1990-07-01,921.9356504225449,921.0291336676029,0.9065167549420039
1990-10-01,921.0210763577377,921.5963463895331,-0.5752700317954123
1991-01-01,920.552037442887,922.1610268934417,-1.6089894505546454
1991-04-01,921.3287026322932,922.7294317933846,-1.4007291610913626
1991-07-01,921.8327886676338,923.3067588442492,-1.473970176615353
1991-10-01,922.1807275024446,923.8972839956775,-1.716556493232929
1992-01-01,923.3708693445872,924.5043131929185,-1.1334438483313534
1992-04-01,924.4493362038583,925.1300227333033,-0.6806865294450972
1992-07-01,925.4325965037328,925.7758430065937,-0.3432465028608931
1992-10-01,926.4700518760643,926.4427564498483,0.027295426216028318
1993-01-01,926.6368564022704,927.1315196131845,-0.49466321091415466
1993-04-01,927.2173392796128,927.8429070095549,-0.6255677299420768
1993-07-01,927.693359327089,928.5773676192139,-0.8840082921249177
1993-10-01,929.0443416290966,929.3349387428204,-0.2905971137238339
1994-01-01,930.0100268323554,930.1150759244,-0.10504909204462365
1994-04-01,931.356108989889,930.9170434690496,0.4390655208393355
1994-07-01,931.9389914798297,931.7400365501552,0.1989549296745281
1994-10-01,933.0780496665085,932.5835392855406,0.49451038096788125
1995-01-01,933.4322023125898,933.4471667231936,-0.01496441060385223
1995-04-01,933.7300810590987,934.3308593432247,-0.6007782841260223
1995-07-01,934.5772082851694,935.234547777822,-0.657339492652568
1995-10-01,935.2539949598624,936.1577672932534,-0.9037723333909753
1996-01-01,936.0002536329624,937.099620567526,-1.0993669345635908
1996-04-01,937.6544403138531,938.058615515504,-0.4041752016509008
1996-07-01,938.5474746071244,939.0325365701433,-0.48506196301889304
1996-10-01,939.5804901120613,940.0189021809167,-0.4384120688554276
1997-01-01,940.2238592458689,941.0149115830808,-0.7910523372119087
1997-04-01,941.8753643461363,942.0174754974839,-0.14211115134764896
1997-07-01,943.1162029780742,943.0229840616853,0.09321891638887791
1997-10-01,943.9664384830113,944.0277338913781,-0.06129540836684555
1998-01-01,944.9651874716463,945.0280829486528,-0.0628954770064638
1998-04-01,945.8866171198385,946.0203488577309,-0.1337317378923899
1998-07-01,947.1376986275322,947.0008078519779,0.1368907755543205
1998-10-01,948.7340848765847,947.9656481572974,0.7684367192872514
1999-01-01,949.6691333893293,948.9111480859849,0.7579853033444124
1999-04-01,950.5004115742863,949.8340916505223,0.6663199237640356
1999-07-01,951.8175819028645,950.7317616856111,1.0858202172533993
1999-10-01,953.4449354699711,951.6018795241433,1.843055945827814
2000-01-01,953.8070723707764,952.442881065966,1.3641913048103333
2000-04-01,955.6119734052743,953.2544151068141,2.3575582984601624
2000-07-01,955.713854075646,954.0370282024865,1.6768258731596006
2000-10-01,956.3091176541351,954.7928183932997,1.5162992608353534
2001-01-01,955.9807804092208,955.5249872211828,0.45579318803800106
2001-04-01,956.6033414006979,956.2377340887857,0.36560731191218565
2001-07-01,956.2018974965162,956.9355583515007,-0.7336608549845778
2001-10-01,956.4762961267519,957.6231999670779,-1.1469038403259901
2002-01-01,957.3091766836415,958.3049160787136,-0.995739395072178
2002-04-01,957.9200138529884,958.9842090641547,-1.0641952111662931
2002-07-01,958.3257012577263,959.6639260154413,-1.338224757715011
2002-10-01,958.4492299821237,960.3462136888492,-1.8969837067254502
2003-01-01,958.9744900587087,961.0323381689045,-2.0578481101957777
2003-04-01,959.8562131039955,961.7223171549499,-1.866104050954391
2003-07-01,961.5057333625898,962.4148140979578,-0.9090807353679793
2003-10-01,962.6597700673301,963.1072643852958,-0.44749431796572026
2004-01-01,963.2248220912203,963.7965051477855,-0.5716830565652344
2004-04-01,963.9967870831144,964.4790790249068,-0.48229194179236856
2004-07-01,964.9409100716316,965.1511524374855,-0.210242365853901
2004-10-01,965.9559492037449,965.8085744150533,0.14737478869164988
2005-01-01,967.0592042566685,966.4470556288347,0.6121486278337898
2005-04-01,967.5506192875309,967.0624037358648,0.48821555166614417
2005-07-01,968.3313774576441,967.6508292418041,0.6805482158399627
2005-10-01,968.8853566948517,968.2088639418735,0.6764927529782199
2006-01-01,970.221770539623,968.7334874929743,1.4882830466486894
2006-04-01,970.4801891145129,969.2221247448299,1.2580643696829839
2006-07-01,970.630032718521,969.6731799707077,0.9568527478132864
2006-10-01,971.4858102750625,970.08588536291,1.3999249121525281
2007-01-01,971.7861943367757,970.4601028085483,1.32609152822738
2007-04-01,972.3960926282438,970.7966154707128,1.5994771575309414
2007-07-01,972.9704657391744,971.0970791994923,1.8733865396820875
2007-10-01,973.5967372903939,971.3642024442049,2.232534846188969
2008-01-01,973.1690597313907,971.601926510304,1.5671332210866922
2008-04-01,973.7627223245223,971.815661911131,1.9470604133913412
2008-07-01,973.2360799442439,972.0118504740495,1.2242294701943592
2008-10-01,971.0227386702954,972.1982153665659,-1.1754766962704934
2009-01-01,969.8813755343051,972.3832854088275,-2.5019098745224255
2009-04-01,969.7025648125424,972.5748158520332,-2.872251039490834
2009-07-01,970.0531419672564,972.7789154665986,-2.7257734993422673
2009-10-01,971.1282555051807,972.9998028244986,-1.8715473193178696
2010-01-01,971.6115865272487,973.2399026946096,-1.628316167360822
2010-04-01,972.5745215095095,973.5004082000444,-0.9258866905348668
2010-07-01,973.3426487800099,973.7814408860371,-0.43879210602722196
2010-10-01,973.866385144455,974.0825129814511,-0.2161278369961792
2011-01-01,973.62889847085,974.4028479506433,-0.7739494797932593
2011-04-01,974.3032022177166,974.741527026496,-0.4383248087793845
2011-07-01,974.2808869921381,975.0971221138155,-0.8162351216774368
2011-10-01,975.3976766732845,975.4679166604253,-0.07023998714078061
2012-01-01,976.2327708551636,975.851656958332,0.38111389683160724
2012-04-01,976.6781124817959,976.2460430753399,0.43206940645598024
2012-07-01,976.8220368582821,976.6490258863322,0.1730109719499069
2012-10-01,976.9376105998571,977.058840606561,-0.12123000670396777
2013-01-01,977.9193365264086,977.4738363079937,0.44550021841496346
2013-04-01,978.1866153529224,977.8922822823956,0.2943330705268181
2013-07-01,979.0344050081721,978.3127410005768,0.7216640075953364
2013-10-01,979.9023690319984,978.7339686308712,1.168400401127201
